PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",49-3093,Tire Repairers and Changers,detailed,800,23.7,0.86,1.1,12.11,25180,2.7,9.71,10.5,11.82,13.56,14.64,20200,21830,24580,28210,30450,,
TX,12420,"Austin-Round Rock, TX",49-9011,Mechanical Door Repairers,detailed,100,43.7,0.107,0.83,17.94,37320,11.1,12.56,14.34,16.66,19.87,27.4,26130,29830,34650,41330,56990,,
TX,12420,"Austin-Round Rock, TX",49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,390,21.7,0.425,1.38,22.02,45800,5.8,13.32,15.92,20.29,25.92,33.01,27700,33110,42210,53920,68660,,
TX,12420,"Austin-Round Rock, TX",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed,2060,15.2,2.219,1.11,19.31,40160,3.8,12.12,15.99,18.64,22.69,27.19,25210,33260,38780,47190,56560,,
TX,12420,"Austin-Round Rock, TX",49-9031,Home Appliance Repairers,detailed,420,32.2,0.457,1.85,20.45,42540,14.5,12.65,14.42,17.61,22.83,40.1,26320,29980,36630,47480,83400,,
TX,12420,"Austin-Round Rock, TX",49-9041,Industrial Machinery Mechanics,detailed,1080,24.9,1.16,0.49,26.02,54130,5.8,15.39,20.25,26.19,32.46,36.29,32010,42120,54480,67510,75480,,
TX,12420,"Austin-Round Rock, TX",49-9043,"Maintenance Workers, Machinery",detailed,650,11.7,0.704,1.05,23.36,48600,8.1,13.19,16.49,22.68,29.79,35.75,27440,34300,47180,61970,74370,,
TX,12420,"Austin-Round Rock, TX",49-9044,Millwrights,detailed,**,**,**,**,16.88,35100,8,12.96,14.52,16.48,18.31,22.06,26960,30210,34290,38080,45880,,
TX,12420,"Austin-Round Rock, TX",49-9051,Electrical Power-Line Installers and Repairers,detailed,330,20.9,0.36,0.43,28.31,58890,5,16.14,20.3,28.32,36.2,42.62,33560,42220,58900,75290,88640,,
TX,12420,"Austin-Round Rock, TX",49-9052,Telecommunications Line Installers and Repairers,detailed,560,37.2,0.605,0.78,22.82,47460,7.8,12.36,16.33,21.61,30.15,35.46,25710,33970,44950,62700,73760,,
TX,12420,"Austin-Round Rock, TX",49-9062,Medical Equipment Repairers,detailed,230,38.2,0.251,0.84,24.92,51840,5.6,14.42,19.68,22.63,28.46,36.75,30000,40940,47080,59190,76440,,
TX,12420,"Austin-Round Rock, TX",49-9069,"Precision Instrument and Equipment Repairers, All Other",detailed,120,41.9,0.129,1.46,26.8,55750,23.4,11.7,16.49,25.61,38.2,45.91,24340,34300,53260,79460,95500,,
TX,12420,"Austin-Round Rock, TX",49-9071,"Maintenance and Repair Workers, General",detailed,7620,5.5,8.208,0.86,17.11,35590,1.8,10.5,13.13,16.53,20.22,25.24,21850,27310,34380,42060,52510,,
TX,12420,"Austin-Round Rock, TX",49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",detailed,90,37.4,0.101,0.43,15.66,32560,9,10.27,11.44,14.81,18.75,23.13,21370,23790,30800,39000,48100,,
TX,12420,"Austin-Round Rock, TX",49-9098,"Helpers--Installation, Maintenance, and Repair Workers",detailed,1060,17.1,1.136,1.26,12.88,26790,4.6,8.07,9.05,12.11,14.83,20.1,16790,18830,25190,30840,41810,,
TX,12420,"Austin-Round Rock, TX",49-9099,"Installation, Maintenance, and Repair Workers, All Other",detailed,1320,21.7,1.418,1.37,17.88,37190,6,10.08,11.31,16.91,22.41,26.25,20970,23520,35180,46620,54610,,
TX,12420,"Austin-Round Rock, TX",51-0000,Production Occupations,major,33340,4.4,35.892,0.55,16.41,34130,2,9.38,11.11,14.35,18.99,25.95,19500,23100,29850,39500,53970,,
TX,12420,"Austin-Round Rock, TX",51-1011,First-Line Supervisors of Production and Operating Workers,detailed,2180,7.7,2.343,0.54,29.54,61450,2.6,16.06,19.99,27.66,36.14,46.46,33410,41580,57540,75180,96640,,
TX,12420,"Austin-Round Rock, TX",51-2022,Electrical and Electronic Equipment Assemblers,detailed,2210,7.2,2.377,1.54,16.15,33580,3.5,10.75,12.62,15.02,18.3,22.62,22370,26250,31230,38070,47050,,
TX,12420,"Austin-Round Rock, TX",51-2023,Electromechanical Equipment Assemblers,detailed,**,**,**,**,19.61,40800,2.6,13.41,15.74,18.5,23.33,27.9,27900,32730,38480,48520,58040,,
TX,12420,"Austin-Round Rock, TX",51-2041,Structural Metal Fabricators and Fitters,detailed,200,28.1,0.214,0.37,17.34,36070,3.8,12.5,14.07,16.59,19.65,24.24,26000,29260,34500,40870,50430,,
TX,12420,"Austin-Round Rock, TX",51-2092,Team Assemblers,detailed,3210,15.7,3.456,0.43,13.09,27240,8.2,8.79,10.08,11.4,15.03,21.54,18280,20970,23700,31260,44810,,
TX,12420,"Austin-Round Rock, TX",51-2093,Timing Device Assemblers and Adjusters,detailed,**,**,**,**,20.78,43230,8.7,14.23,18.01,20.96,23.12,24.55,29590,37450,43600,48090,51060,,
TX,12420,"Austin-Round Rock, TX",51-2099,"Assemblers and Fabricators, All Other",detailed,770,23,0.828,0.5,15.03,31260,3.5,9.62,11.21,13.66,17.69,23.04,20010,23320,28420,36790,47930,,
TX,12420,"Austin-Round Rock, TX",51-3011,Bakers,detailed,420,18.9,0.45,0.35,12.81,26640,3.6,8.67,10.16,12.03,15.09,18.33,18030,21120,25030,31390,38130,,
TX,12420,"Austin-Round Rock, TX",51-3021,Butchers and Meat Cutters,detailed,620,38.2,0.673,0.68,15.39,32010,2,10.53,12.7,15.62,17.64,18.88,21900,26410,32480,36700,39260,,
TX,12420,"Austin-Round Rock, TX",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed,80,48.2,0.087,0.59,12.51,26020,4.8,8.91,10.01,11.41,15.2,18.18,18540,20830,23740,31620,37820,,
TX,12420,"Austin-Round Rock, TX",51-3092,Food Batchmakers,detailed,290,25.1,0.316,0.33,12.54,26070,3.5,8.21,9.35,11.99,15.65,17.95,17070,19450,24940,32550,37330,,
TX,12420,"Austin-Round Rock, TX",51-3093,Food Cooking Machine Operators and Tenders,detailed,90,46.2,0.092,0.37,11.55,24030,9.9,8.22,9.21,11.62,13.63,14.99,17100,19150,24170,28350,31190,,
TX,12420,"Austin-Round Rock, TX",51-3099,"Food Processing Workers, All Other",detailed,**,**,**,**,10.21,21240,3.3,8.01,8.6,9.59,11.54,14,16650,17900,19940,24010,29120,,
TX,12420,"Austin-Round Rock, TX",51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",detailed,900,11.5,0.969,0.91,16.51,34340,7.6,11.55,13.15,15.54,19.72,23.06,24020,27360,32320,41010,47960,,
TX,12420,"Austin-Round Rock, TX",51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",detailed,80,25.5,0.082,0.44,28.26,58780,6.1,17.39,21.18,26.66,32.23,37.98,36180,44060,55460,67040,78990,,
TX,12420,"Austin-Round Rock, TX",51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,**,**,**,**,15.07,31340,8,10.23,11.85,14.29,17.6,22,21280,24650,29720,36600,45760,,
TX,12420,"Austin-Round Rock, TX",51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,390,15.6,0.416,0.29,14.71,30590,2.9,9.85,11.31,13.9,17.57,21.5,20500,23530,28920,36560,44720,,
