area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,180,18.4,0.165,0.4,,16.46,34240,4.5,10.37,12.11,16.51,19.52,23.34,21570,25180,34350,40600,48550,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,8140,2.3,7.582,2.05,,29.09,60500,1.9,20.68,23.65,27.99,33.3,38.7,43020,49200,58230,69270,80490,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-6012,Legal Secretaries and Administrative Assistants,detailed,1280,24.6,1.195,1.04,,21.93,45610,9,11.35,14.1,19.9,29.43,36.64,23610,29330,41400,61210,76220,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-6013,Medical Secretaries and Administrative Assistants,detailed,5870,6.4,5.473,1.33,,18.05,37550,2.6,12.82,14.39,17.37,21.33,25.31,26660,29930,36120,44370,52650,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,18350,3.2,17.091,1.23,,18.09,37620,2,12.24,14.48,17.68,21.7,25.14,25460,30120,36770,45150,52300,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-9021,Data Entry Keyers,detailed,2260,24.8,2.104,1.93,,16.26,33830,1.8,12.79,14.1,15.48,18.35,21.58,26600,29330,32200,38160,44880,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-9031,Desktop Publishers,detailed,**,**,**,**,,26.46,55030,4.4,15.8,18.01,22.15,39.73,45.85,32870,37460,46080,82650,95370,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-9041,Insurance Claims and Policy Processing Clerks,detailed,2230,14.5,2.073,1.18,,20.63,42920,2.2,14.27,16.66,19.4,24.33,29.36,29690,34650,40350,50610,61080,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,960,10.5,0.89,1.56,,14.9,30990,2.2,11.86,12.94,14.65,16.77,18.84,24660,26910,30470,34870,39200,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-9061,"Office Clerks, General",detailed,26140,4.4,24.351,1.21,,19.14,39810,1.2,11.12,13.9,18.18,23.79,29,23130,28920,37810,49490,60320,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-9071,"Office Machine Operators, Except Computer",detailed,420,26.1,0.393,1.26,,16.71,34750,2.3,11.75,14.01,16.82,19.21,22.33,24440,29130,34990,39950,46440,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-9111,Statistical Assistants,detailed,**,**,**,**,,26.9,55940,2.9,24.51,25.72,27.24,29.15,30.3,50970,53500,56660,60630,63010,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-9199,"Office and Administrative Support Workers, All Other",detailed,530,23.2,0.491,0.38,,18.47,38420,4.3,10.32,12.8,17.21,21.67,29.39,21460,26630,35790,45070,61130,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,45-0000,"Farming, Fishing, and Forestry Occupations",major,1330,25.1,1.238,0.38,,16.04,33370,9.9,9.24,11.08,13.64,17.15,23.02,19220,23040,28370,35670,47880,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,50,39.9,0.048,0.31,,27.78,57770,4,14.48,18.01,26.9,36.85,43.89,30110,37450,55950,76650,91290,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,45-2041,"Graders and Sorters, Agricultural Products",detailed,**,**,**,**,,12.23,25440,4.4,9.77,10.56,11.88,13.79,14.95,20320,21970,24720,28670,31110,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,45-2091,Agricultural Equipment Operators,detailed,**,**,**,**,,13.91,28930,4.3,10.11,12.05,13.33,14.62,18.92,21020,25060,27730,30410,39360,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,260,38.7,0.244,0.12,,13.63,28350,3.5,9.64,11.51,13.4,15.3,18.27,20050,23940,27870,31820,38010,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,500,41.8,0.467,1.87,,18.24,37940,20.7,8.52,10.24,14.55,18.28,25.22,17720,21290,30270,38030,52450,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,47-0000,Construction and Extraction Occupations,major,44950,3,41.88,0.99,,21.4,44500,1.5,13.2,15.72,19.22,25.29,33.16,27460,32710,39970,52610,68980,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,5070,5.7,4.728,1.11,,32.09,66750,1.6,21.01,25.3,31.33,37.62,45.24,43710,52620,65160,78250,94090,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,47-2021,Brickmasons and Blockmasons,detailed,90,40.9,0.086,0.21,,22.93,47690,3.1,17.35,20.5,22.7,24.92,28.96,36090,42640,47220,51830,60240,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,47-2031,Carpenters,detailed,3250,11.8,3.028,0.61,,18.96,39440,2.4,12.99,15.9,18.49,22.21,25.53,27030,33070,38460,46200,53100,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,47-2044,Tile and Stone Setters,detailed,220,25.9,0.208,0.76,,17.83,37080,6.3,10.62,14.98,18.07,21.74,24.01,22090,31160,37590,45220,49940,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,47-2051,Cement Masons and Concrete Finishers,detailed,1840,18.8,1.713,1.28,,18.95,39410,4.9,13.29,15.56,18.23,21.95,24.99,27630,32360,37920,45660,51990,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,47-2061,Construction Laborers,detailed,8340,10,7.767,1.12,,15.71,32680,1.1,12.17,13.38,15.31,17.82,19.65,25320,27820,31850,37060,40880,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detailed,510,18.9,0.471,1.51,,19.07,39670,2.3,14.12,16.23,19.28,22.21,24.02,29370,33760,40090,46200,49960,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,47-2072,Pile Driver Operators,detailed,**,**,**,**,,24.34,50620,5.6,17.67,21.12,25.51,28.2,29.81,36750,43940,53060,58650,62010,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,47-2073,Operating Engineers and Other Construction Equipment Operators,detailed,3230,9.2,3.012,1.09,,20.01,41630,1.4,14.79,16.68,19.41,22.79,25.83,30770,34690,40360,47410,53720,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,47-2081,Drywall and Ceiling Tile Installers,detailed,1420,25.5,1.324,1.89,,20.05,41700,2.6,15.82,17.46,20.45,22.94,24.47,32910,36320,42540,47710,50890,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,47-2111,Electricians,detailed,4760,13.6,4.437,0.95,,25.61,53260,4.2,15.5,18.71,24.24,30.16,41.48,32250,38910,50420,62740,86290,,
