PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock-San Marcos, TX",37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,660,8.8,0.808,1.06,20.52,42680,2.9,14.4,16.87,20.02,23.18,28.54,29950,35090,41650,48210,59360,,
TX,12420,"Austin-Round Rock-San Marcos, TX",37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,12400,8.7,15.266,0.95,10.09,20980,1.9,7.76,8.36,9.36,11.38,13.85,16140,17380,19470,23670,28810,,
TX,12420,"Austin-Round Rock-San Marcos, TX",37-2012,Maids and Housekeeping Cleaners,detailed,4160,11.6,5.116,0.74,9.28,19310,1.9,7.68,8.18,9.01,10.43,11.7,15980,17020,18740,21700,24340,,
TX,12420,"Austin-Round Rock-San Marcos, TX",37-2021,Pest Control Workers,detailed,490,34.8,0.597,1.27,17.51,36420,6,9.62,13.55,17.37,21.69,25.39,20010,28180,36120,45110,52810,,
TX,12420,"Austin-Round Rock-San Marcos, TX",37-3011,Landscaping and Groundskeeping Workers,detailed,5000,8.8,6.147,0.96,11.67,24280,2.4,8.17,9.33,11.27,13.84,16.45,17000,19410,23440,28790,34210,,
TX,12420,"Austin-Round Rock-San Marcos, TX",37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,50,45.2,0.056,0.31,17.96,37360,4.8,15.09,15.94,17.35,19.75,22.63,31390,33160,36100,41080,47080,,
TX,12420,"Austin-Round Rock-San Marcos, TX",37-3013,Tree Trimmers and Pruners,detailed,870,45.3,1.069,3.5,14.14,29410,3.6,10.63,12.18,13.7,15.97,18.19,22120,25330,28490,33220,37830,,
TX,12420,"Austin-Round Rock-San Marcos, TX",37-3019,"Grounds Maintenance Workers, All Other",detailed,50,27.2,0.057,0.48,13.33,27730,11.4,7.92,8.7,10.71,14.13,27.11,16480,18100,22280,29390,56390,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-0000,Personal Care and Service Occupations,major,23880,4.4,29.393,1,11.4,23710,2.3,7.84,8.54,9.93,12.58,16.77,16300,17760,20650,26160,34890,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-1021,First-Line Supervisors of Personal Service Workers,detailed,970,15,1.191,1.09,16.52,34360,3.2,10.7,12.75,15.46,18.71,24.81,22260,26510,32150,38910,51600,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-2011,Animal Trainers,detailed,100,29.8,0.122,1.42,12.04,25030,8.7,8.2,9.41,11.19,14.88,17.44,17050,19580,23270,30940,36270,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-2021,Nonfarm Animal Caretakers,detailed,970,14.8,1.199,1.04,9.84,20460,3.5,7.73,8.23,9.06,10.74,13.45,16070,17110,18850,22330,27970,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-3019,"Gaming Service Workers, All Other",detailed,**,**,**,**,29.54,61440,14.9,15.37,23.77,31.2,37.88,43.05,31970,49450,64900,78790,89540,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-3021,Motion Picture Projectionists,detailed,90,14.8,0.111,1.79,11.09,23060,11.2,7.87,8.59,10.16,12.8,15.14,16370,17870,21140,26630,31490,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,380,20.6,0.474,0.58,8.73,18150,3.3,7.61,7.97,8.56,9.16,10.8,15840,16580,17810,19050,22470,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-3091,Amusement and Recreation Attendants,detailed,1510,9.3,1.862,0.95,9.88,20550,2.7,7.72,8.27,9.19,11.51,13.73,16060,17210,19120,23930,28570,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,60,34.3,0.077,0.52,10.1,21010,7.6,7.68,8.16,8.97,11.04,15.86,15960,16970,18650,22970,32990,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-3099,"Entertainment Attendants and Related Workers, All Other",detailed,110,33.4,0.138,1.66,11.49,23890,15.8,7.73,8.42,10.17,15.73,17.71,16070,17510,21150,32710,36840,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-4021,Funeral Attendants,detailed,**,**,**,**,10.52,21890,4.1,8.74,9.64,10.48,11.32,13.1,18180,20040,21800,23550,27250,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-4031,"Morticians, Undertakers, and Funeral Directors",detailed,100,39.5,0.117,0.66,20.02,41630,5.3,14.38,16.81,20.11,22.73,26.47,29910,34970,41820,47270,55060,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-5011,Barbers,detailed,**,**,**,**,13.09,27230,6.1,8.13,9.6,13.66,16.12,17.55,16910,19960,28410,33520,36500,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,2060,15.5,2.532,0.93,11.27,23450,6.5,7.82,8.43,9.44,12.61,16.93,16270,17530,19640,26220,35220,,
TX,12420,"Austin-Round Rock-San Marcos, TX",39-5092,Manicurists and Pedicurists,detailed,**,**,**,**,11.88,24700,4.9,8.15,9.24,11.38,13.83,16.51,16960,19220,23670,28760,34330,,
