PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,2530,11.9,3.329,1.553,29.05,60430,4.3,16.64,20.04,25.83,35.01,47.95,34610,41680,53720,72820,99730,,
TX,12420,"Austin-Round Rock, TX",13-1031,"Claims Adjusters, Examiners, and Investigators",,1930,14.3,2.538,1.229,25.39,52820,3.4,15.97,18.56,23.4,30.36,38.7,33220,38610,48670,63150,80500,,
TX,12420,"Austin-Round Rock, TX",13-1041,Compliance Officers,,1200,8.2,1.574,0.981,28.58,59440,3.2,16.43,19.95,26.35,33.51,44.65,34170,41500,54800,69690,92870,,
TX,12420,"Austin-Round Rock, TX",13-1051,Cost Estimators,,970,11.1,1.272,0.88,31.9,66350,2.5,19.07,22.4,29.3,37.93,50.07,39670,46600,60950,78890,104150,,
TX,12420,"Austin-Round Rock, TX",13-1078,"Human Resources, Training, and Labor Relations Specialists, All Other*",,2520,6.1,3.314,1.008,25.79,53650,3,14.68,18.87,23.58,30.35,39.71,30540,39260,49040,63120,82600,,
TX,12420,"Austin-Round Rock, TX",13-1081,Logisticians,,1000,22.7,1.322,1.603,36.28,75460,5.3,22.23,27.76,34.12,42.04,52.19,46240,57730,70980,87440,108560,,
TX,12420,"Austin-Round Rock, TX",13-1121,"Meeting, Convention, and Event Planners*",,**,**,**,**,24.27,50480,1.7,16.88,19.39,22.4,27.61,35.24,35120,40340,46590,57420,73300,,
TX,12420,"Austin-Round Rock, TX",13-1141,"Compensation, Benefits, and Job Analysis Specialists",,860,8.9,1.135,1.403,28.72,59740,7.1,16.14,19.48,25.08,34.1,45.85,33580,40520,52160,70930,95360,,
TX,12420,"Austin-Round Rock, TX",13-1151,Training and Development Specialists,,1740,9.5,2.285,1.425,25.95,53980,2.1,16.07,19.39,24.69,31.04,37.82,33430,40330,51360,64560,78670,,
TX,12420,"Austin-Round Rock, TX",13-1161,Market Research Analysts and Marketing Specialists*,,1970,8.2,2.595,1.26,31.02,64520,3.1,14.01,18.62,28.09,39.51,54.69,29130,38740,58420,82180,113750,,
